"CreatedById","CreatedDate","Id","IsDeleted","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","Name","OwnerId","SystemModstamp","reismobj__APIItemGroup__c","reismobj__APIItem__c","reismobj__AccountDetailField__c","reismobj__AccountField__c","reismobj__CatalogItemDetailField__c","reismobj__CatalogItemField__c","reismobj__ContactField__c","reismobj__DistributionPriceField__c","reismobj__FixedValue__c","reismobj__OrderDetailField__c","reismobj__OrderField__c","reismobj__OrderItemDetailField__c","reismobj__OrderItemField__c","reismobj__TargetEC__c"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiPYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_link_number","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","link_number","","ecf_link_number__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiQYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_is_auto_generated_email","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","is_auto_generated_email","","ecf_is_auto_generated_email__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiRYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_auth_infrastructure_id","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","auth_infrastructure_id","","ecf_auth_infrastructure_id__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiSYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option01","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option01","","ecf_option01__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiTYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option02","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option02","","ecf_option02__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiUYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option03","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option03","","ecf_option03__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiVYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option04","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option04","","ecf_option04__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiWYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option05","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option05","","ecf_option05__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiXYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option06","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option06","","ecf_option06__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiYYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option07","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option07","","ecf_option07__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiZYAX","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option08","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option08","","ecf_option08__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTiaYAH","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option09","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option09","","ecf_option09__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTibYAH","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_option10","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","option10","","ecf_option10__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTicYAH","false","005d5000004TiwDAAS","2026-03-24T15:07:06.000Z","","","Customer_created_at","005d5000004TiwDAAS","2026-03-24T15:07:06.000Z","Customer","created_at","","ecf_customer_created_at__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTidYAH","false","005d5000004TiwDAAS","2026-03-16T15:05:32.000Z","","","Customer_updated_at","005d5000004TiwDAAS","2026-03-16T15:05:32.000Z","Customer","updated_at","","ecf_customer_updated_at__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTieYAH","false","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","","","Customer_deleted_at","005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","Customer","deleted_at","","ecf_deleted_at__c","","","","","","","","","","ecforce"
"005d5000004TiwDAAS","2026-02-19T12:13:16.000Z","a08RB00001EVTifYAH","false","005d5000004TiwDAAS","2026-03-16T14:25:13.000Z","","","Order_id","005d5000004TiwDAAS","2026-03-16T14:25:13.000Z","Order","id","","ecf_order_id__c","","","","","","","ecf_id__c","","","ecforce"
